Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-04-11 14:08:46.084 -0600,"Success",0:00:00,0,0,0,"20170411_140846.084/LogFile.txt","","",1
2017-04-11 14:09:03.584 -0600,"Success",0:00:00,0,0,0,"20170411_140903.584/LogFile.txt","","",1
2017-04-11 14:11:37.501 -0600,"Success",0:00:05,0,0,0,"20170411_141137.501/LogFile.txt","","",1
2017-04-11 14:14:20.647 -0600,"Success",0:00:06,0,0,0,"20170411_141420.647/LogFile.txt","","",1
2017-04-11 14:39:20.825 -0600,"Success",0:00:04,0,0,0,"20170411_143920.825/LogFile.txt","","",1
2017-04-11 14:40:14.061 -0600,"Success",0:00:06,0,0,0,"20170411_144014.061/LogFile.txt","","",1
2017-04-11 15:00:15.462 -0600,"Success",0:00:07,0,0,0,"20170411_150015.462/LogFile.txt","","",1
2017-04-11 15:49:15.367 -0600,"Success",0:00:06,0,0,0,"20170411_154915.367/LogFile.txt","","",1
2017-04-12 17:13:58.688 -0600,"Failure",0:00:21,2,0,1,"20170412_171358.688/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Login/Logo"" within 10.00 seconds",0
2017-04-12 17:14:35.277 -0600,"Success",0:00:09,0,0,0,"20170412_171435.277/LogFile.txt","","",1
2017-04-13 13:55:42.141 -0600,"Success",0:00:07,0,0,0,"20170413_135542.141/LogFile.txt","","",1
2017-04-13 14:22:39.419 -0600,"Success",0:00:07,0,0,0,"20170413_142239.419/LogFile.txt","","",1
